Código IBGE,UF,MUNICÍPIO,MICRORREGIÃO,"RENDA PER CAPITA 
CORRIGIDA E AJUSTADA","TAXA DE CRESCIMENTO 
GEOMETRICO DO PIB  
PER CAPITA TRIENAL",TIPOLOGIA SUB REGIONAL,"TIPOLOGIA SUB REGIONAL DE ACORDO 
COM O DECRETO 6.047, de 22/02/2007"
1720259,TO,São Salvador do Tocantins,Gurupi,"696,86","3,28",Alta Renda e Médio Dinamismo,Alta Renda
1720853,TO,Sucupira,Gurupi,"696,86","3,28",Alta Renda e Médio Dinamismo,Alta Renda
1720978,TO,Talismã,Gurupi,"696,86","3,28",Alta Renda e Médio Dinamismo,Alta Renda
1701101,TO,Aparecida do Rio Negro,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1703305,TO,Bom Jesus do Tocantins,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1709807,TO,Ipueiras,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1712009,TO,Lajeado,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1713601,TO,Monte do Carmo,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1716505,TO,Pedro Afonso,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1718204,TO,Porto Nacional,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1718881,TO,Santa Maria do Tocantins,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1720655,TO,Silvanópolis,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1721000,TO,Palmas,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
1721109,TO,Tocantínia,Porto Nacional,"1.003,04","3,36",Alta Renda e Médio Dinamismo,Alta Renda
